number_id,name,province,published_at_date,review_text,rating,sentiment
35,Pantai Cipta,Jawa Tengah,2023-08-28T06:46:06,"Pantai yang cukup indah di semarang, apalagi kalau datang saat sedang sunset yang punya keindahan senja, cocok datang sendiri atau ingin self talk, atau dengan pasangan, dirasa kurang kalau datang keluarga karena tidak bisa main air dan terdapat banyak batu disekitar pantai yang kurang ramah untuk anak anak, akses cukup berkesan jangan ngebut ketika memasuki area pantai dan stay safety",3,Positive
36,Pantai Cipta,Jawa Tengah,2021-10-18T06:42:44,"Pantai cipta adalah surganya untuk para angler di kota Semarang dan sekitarnya yang masih cukup punya berpotensi strike. Selain tempat sebagai penyalur hoby mancing pantai cipta juga sebenarnya cukup menarik di kunjungi sebagai tempat wisata pantai, sekedar melihat lihat saja atau bermain air laut juga bisa yang pasti jangan di siang hari ya panas sekali,  lebih baik pagi atau sore hari. Hanya saja sangat di sayangkan tempat ini tidak di kelola jadi hanya di biarkan apa adanya yang malah hanya memberikan keuntungan oleh pihak yang tidak jelas. Setiap pengunjung yang datang di kenakan biaya 5K untuk motor dan 10K untuk mobil pada saat weekend, saya menyebutnya ini pungli karena tidak di manfaatkan untuk kebaikan tempat ini. Tidak ada fasilitas MCK, sampah juga sangat banyak.
Semoga pihak berwenang terkait bisa menata tempat ini dan bisa di jadikan sumber pendapatan daerah ketimbang hanya di nikmati sepihak oleh orang orang yang tidak jelas.",3,Negative
37,Pantai Cipta,Jawa Tengah,2023-08-21T01:48:16,"Lokasi yg cenderung digunakan untuk spot memancing...
Kurang terawat dan banyak sekali sampah. Sayang sekali padahal spot cukup bagus dengan siluet kapal"" dari pelabuhan...",4,Negative
38,Pantai Cipta,Jawa Tengah,2023-08-17T11:13:12,Baru masuk ada punglinya di minta retribusi tp gada tiketnya. Padahal Meraka satpam kawasan,1,Negative
39,Pantai Cipta,Jawa Tengah,2023-05-19T01:00:38,"Pantai cipta tempat nya sangat bagus buat liburan keluarga dan tempat yang sangat enak buat mancing
Tapi sayang kebanyakan pungli dari para  satpam klw ga di kasih pasti langsung keluar kata2 mutiara nya ",2,Negative
40,Pantai Cipta,Jawa Tengah,2023-07-28T08:06:21,Cocok untuk melihat sunrise di pagi hari,4,Positive
41,Pantai Cipta,Jawa Tengah,2023-07-22T15:15:15,Cocok buat yg gabut untuk spot mancing...,2,Positive
42,Pantai Cipta,Jawa Tengah,2023-07-21T01:56:15,tempatnya kotor banyak sampah,1,Negative
43,Pantai Cipta,Jawa Tengah,2023-07-07T05:24:36,Aku kan lagi berenang di pantai tiba tiba air nya asin selesai deh,5,Neutral
44,Pantai Cipta,Jawa Tengah,2023-07-06T15:56:40,"view lumayan bagus,,
tapi jalan menuju pantai sangat jelek,sangat tidak rata dan susah untuk di lalui,
belum lagi lalu lalanng kendaraan besar,truk2 kontainer,
perlu perbaikan jalan",3,Negative
45,Pantai Cipta,Jawa Tengah,2023-06-29T11:58:42,"Tempatnya asik buat mancing karna masih sepi pengunjung..
dan tempatnya juga dekat dengan pelabuhan. Jadi bisa liat2 kapal dan juga perahu para nelayan ",4,Positive
46,Pantai Cipta,Jawa Tengah,2023-06-28T12:11:24,Kota pinggir laut yang tak punya pantai indah,1,Negative
47,Pantai Cipta,Jawa Tengah,2023-06-20T14:56:58,"Ini bukan pantai untuk wisata,.. kotor, kumuh, jalan menuju pantai rusak sangat parah dengan lubang2  jalan yang dalam dan lebar .
Biaya retribusi parkir 5000
Biasanya satpam yang keliling ke pantai unt meminta uang retribusi pada pengunjung.
Saran saya mending ke barat sedikit ada pantain tirang yang lebih bersih rapi dan indah.
Dijamin 100% nyesel kalau ke pantai ini.
Tp kalau buat pemancing mungkin cocok.",1,Negative
48,Pantai Cipta,Jawa Tengah,2023-06-20T05:35:11,"Pinggiran pantai agak kotor tapi suasana segar,bagus untuk mancing dan santai2",4,Positive
49,Pantai Cipta,Jawa Tengah,2023-06-18T05:46:16,tempat yang cocok buat mancing ikan laut ataupun ikan muara,5,Positive
50,Pantai Cipta,Jawa Tengah,2023-06-16T10:29:34,"Bagus untuk liat sunset,tp jalan menuju pantainya jelek poll",5,Negative
51,Pantai Cipta,Jawa Tengah,2023-05-23T03:40:59,lumayan bagus sih tapi klau habis berkunjung jangan tinggalkan sampah YGY,5,Positive
52,Pantai Cipta,Jawa Tengah,2023-05-14T11:53:32,Senja nya bagus bangettt,5,Positive
53,Pantai Cipta,Jawa Tengah,2023-04-02T15:04:58,"Kotor, banyak sampah tdk terurus.
Tapi suara ombaknya menenangkan.",3,Neutral
54,Pantai Cipta,Jawa Tengah,2023-03-07T00:41:20,Jalan akses rusak berat untuk motor roda 2 harapa berhati hati. Tapi setelah sampai di ujung pantai Cipta spot mancing sangat luas dan banyak sekali jenis ikan,5,Neutral
55,Pantai Cipta,Jawa Tengah,2023-02-01T17:08:14,Kawasan yg penuh dgn lumpur dan debu.,3,Negative
56,Pantai Cipta,Jawa Tengah,2023-01-30T02:21:20,"Pemandangan bagus, cuman kotor tempatnya",5,Negative
57,Pantai Cipta,Jawa Tengah,2022-12-26T16:49:43,Tempat yg tidak layak untuk di katakan kawasan pergudangan..tidak layak & tidak lik...,5,Negative
58,Pantai Cipta,Jawa Tengah,2023-01-23T02:38:46,"TER DEBESTTTT, selalu kesini sendiri dan seruu sekali walaupun sepi tapi ditemenin ombak yang rame  lov 192829229292 deh buat pantai cipta, cuman knp y skrng bayar padahal dulu aku selalu kesana hampir seminggu 3x gak pernah bayar masuk tinggal masuk we la skrng bayar cui walaupun cuman 5ribu sie tp gk pp deh
BUAT YG MAW KSN JAGA KEBERSIHAN JGN L BUANG SAMPAH L DISITU Y BAWA BALEK ",5,Positive
59,Pantai Cipta,Jawa Tengah,2022-12-24T06:40:09,Spot bagus untuk mancing,5,Positive
60,Pantai Cipta,Jawa Tengah,2022-11-23T02:58:52,"Pantai tapi dikelola swasta, katanya mau dijadikan pelabuhan. Hampir semua tanah pantai di semarang kok dihak milik swasta ya",3,Neutral
61,Pantai Cipta,Jawa Tengah,2022-09-26T18:34:43,Tempat favorit untuk memancing dan wisata kecil murah meriah untuk melihat pantai,5,Positive
62,Pantai Cipta,Jawa Tengah,2022-09-22T14:13:46,Tmpatnya menyejukkan,5,Positive
63,Pantai Cipta,Jawa Tengah,2022-09-14T17:09:06,Tempatnya bgs utk mancing.. Sayang kurang terawat..,4,Neutral
64,Pantai Cipta,Jawa Tengah,2022-08-25T06:20:24,Banyak sekali nyamuknya kalau sore ke malam. Tapi lumayan lah tempatnya melepas penat di kota,4,Neutral
65,Pantai Cipta,Jawa Tengah,2022-08-14T09:34:27,Jalan nya kurang baik bahkan sangat kurang baik dan banyak pungli nya,1,Negative
66,Pantai Cipta,Jawa Tengah,2022-08-04T13:32:54,Akses jalannya jelek padahal pantainya bagus ,3,Neutral
67,Pantai Cipta,Jawa Tengah,2022-07-29T06:26:22,"akses jalan buruk , untuk pantai nya sendiri juga gabagus masuk tetap bayar tapi ga dikelola",3,Negative
69,Pantai Cipta,Jawa Tengah,2022-07-21T16:54:41,Jalan masuk amburadul,1,Negative
70,Pantai Cipta,Jawa Tengah,2022-07-16T17:31:03,bnyak sampah nya sekarang.. gk spt dulu lg.,1,Negative
71,Pantai Cipta,Jawa Tengah,2022-07-09T23:43:26,jgn lewat pos cipta depan klo mw kesini ,4,Negative
72,Pantai Cipta,Jawa Tengah,2022-07-08T11:35:08,"Lumayan lah buat sekedar mancing,,",4,Positive
73,Pantai Cipta,Jawa Tengah,2022-07-05T19:10:04,banyak ikan dan kerang,5,Positive
74,Pantai Cipta,Jawa Tengah,2022-06-26T14:41:48,"Paling suka mancing disini , tpi syang pantainya kotor, jlnnya jg rusak parah...",4,Negative
75,Pantai Cipta,Jawa Tengah,2022-06-12T21:57:39,Terasa kurang menarik,5,Negative
76,Pantai Cipta,Jawa Tengah,2022-05-08T23:08:06,Mancing Onang di pantai cipta byk banget onangnya,5,Positive
77,Pantai Cipta,Jawa Tengah,2022-05-08T04:41:18,Pagi2 disana menenangkan diri,4,Positive
78,Pantai Cipta,Jawa Tengah,2022-05-05T22:28:09,"Jalan berdebu saat panas, becek setelah hujan. Lokasi dibelakang terminal peti kemas. Banyak spot foto bagus. Gratis tidak Ada tiket masuk Dan tidak ditarik tiket parkir. Banyak pemancing.",4,Neutral
79,Pantai Cipta,Jawa Tengah,2022-05-03T23:46:12,"Lumayan tenang untuk sekedar ngobrol sama temen atau pasangan, cocok juga untuk tempat mancing",5,Positive
80,Pantai Cipta,Jawa Tengah,2022-04-30T11:42:36,Tempat yang Hidden gem karena sunset langsung mengarah kepantai. Tapi sampahnya banyak. Berharap tempatnya dirawat.,5,Neutral
81,Pantai Cipta,Jawa Tengah,2019-05-20T02:44:20,Pantainya sih lumayan bagus.. Tp sayang jalan nya ancur banget.,5,Neutral
82,Pantai Cipta,Jawa Tengah,2022-03-31T17:35:16,Enak buat enjoy juga jarang ada yang tau jadi ga terganggu chill kita,5,Positive
83,Pantai Cipta,Jawa Tengah,2022-02-27T16:06:45,"Spot mancing gratis,cuma bayar parkir aja sama satpam",5,Neutral
84,Pantai Cipta,Jawa Tengah,2022-02-19T03:53:49,Tempatnya lumayan bagus...cuma akses jalan masuk dari jl.raya pantura menuju pantai becek mirip kubangan bila musim hujan tiba...disamping itu banyak dimanfaatkan security Cipta tuk mencari uang pungli.,3,Negative
85,Pantai Cipta,Jawa Tengah,2022-02-12T06:33:29,Siap kotor dan mandi lumpur,1,Neutral
86,Pantai Cipta,Jawa Tengah,2022-01-11T00:17:20,Sepi kayak private beach ,5,Neutral
87,Pantai Cipta,Jawa Tengah,2022-01-07T16:00:42,"Pantainya kotor tidak terawat
Sangat digemari para pemancing",5,Negative
88,Pantai Cipta,Jawa Tengah,2022-01-04T04:01:39,Kesini pas air tenang aja lebih mantap,5,Positive
89,Pantai Cipta,Jawa Tengah,2021-12-31T10:35:40,"Tempat na enak tuk memancing n bisa bawa anak untuk maen cuman sayang masuk kesana harus bayar 2x gak pa lah yg penting senang anak""",4,Positive
90,Pantai Cipta,Jawa Tengah,2021-12-24T13:55:20,"Akses menuju ke pantai ini sungguh luar biasa penuh perjuangan bila ke sini setelah hujan. Licin dan banyak genangan air.
Ke sini secara tidak sengaja karena tersesat, lalu mengikuti rombongan pemancing, melewati area kawasan kilang Pertamina, container, bisnis yang berhubungan dengan perdagangan via laut.
Pantai ini bisa dibilang masih lebih baik, tidak terlalu kotor, masih cukup layak untuk berenang atau sekedar berbasah-basah ria. Namun, jangan berharap ada toilet umum di sini. 
Di sini juga jauh dari warung makan.
Kalau mau mancing... nah, di sini banyak teman sesama pemancing. Kebetulan ombak tidak terlalu besar saat itu.
Dari pantai ini, bisa melihat gunung Ungaran dan kawan-kawannya, sesama gunung di sekitarnya 
Dan nun jauh di tengah lautan sana, terpantau juga kapal-kapal besar, entah itu kapal pesiar atau kapal penumpang.",4,
91,Pantai Cipta,Jawa Tengah,2021-11-04T15:42:17,"Jalan masuk pantai cipta gak layak di buat jalan

Jalanya berlumpur ber gelombang  becek juga",1,Negative
92,Pantai Cipta,Jawa Tengah,2021-11-01T09:05:13,banyak yang mancing....buat bermain anak juga bisa,5,Positive
93,Pantai Cipta,Jawa Tengah,2021-11-01T07:54:19,LumYan bGus suasan sunsetnya,4,Positive
94,Pantai Cipta,Jawa Tengah,2021-10-28T08:40:47,Akses masuknya selain bergelombang berlumpur...lokasi pantai kumuh,4,Negative
95,Pantai Cipta,Jawa Tengah,2021-10-25T01:26:35,"Jalannya kurang bagus, waktu saya kesana banyak kaki seribu",1,Negative
96,Pantai Cipta,Jawa Tengah,2021-10-17T11:22:56,Sudah berbeda jauh dengan dulu...,3,Neutral
97,Pantai Cipta,Jawa Tengah,2021-10-04T01:16:32,Kawasan depo peti kemas,3,Neutral
98,Pantai Cipta,Jawa Tengah,2021-09-17T16:13:09,Bagus tp tidak terawat coba klau dirawat dan akses jalan mudah dan dibuka juga restoran atau angkringan pasti banyak pengunjung yg datang,4,Negative
99,Pantai Cipta,Jawa Tengah,2021-09-13T23:48:38,Penghapus dahaga pantai orang smg,5,Positive
100,Pantai Cipta,Jawa Tengah,2021-09-12T01:23:27,"Pantainya lumayan bagus, nggak terlalu ramai juga jadi pas buat yang ingin self healing. Biaya masuknya pun murah cukup 5000/orangnya.",5,Positive
101,Pantai Cipta,Jawa Tengah,2021-09-08T11:58:17,"Pantai cipta lumayan untuk wisata tpi kurang bagus untuk jalan masuk, pantai cipta juga lumayan banyak pemancing disana dan tempat yg bgus, lbh bgus kalo ada renofasi/tempat yg layak sperti pos/rumah""an",5,Neutral
102,Pantai Cipta,Jawa Tengah,2021-09-07T14:33:16,Enakk sii tapi kudu bayar masuk 5000 ..,1,Neutral
103,Pantai Cipta,Jawa Tengah,2021-09-07T05:48:00,"Area luas, bisa untuk acara rame2, cuma jalan nya masih tanah batuan , tp gpp bisa dilewati kok
mantab untuk foto2 menjelang malam, bagus dengan back ground lampu2 di pelabuhan semarang",4,Positive
104,Pantai Cipta,Jawa Tengah,2021-09-03T12:14:29,"Untuk lihat sunset bagus, tapi akses dan lingkungan sekitarnya jadi bikin gak menarik ",4,Negative
105,Pantai Cipta,Jawa Tengah,2019-06-08T11:09:43,"Yg suka mancing wajub berkunjung kesini, kalo untuk main air atau wisata tdk recom dN juga tdk ada tiket resmi, memang sbnrnya tmpat tsb hNy untuk penyimpanan peti kemas.",4,
106,Pantai Cipta,Jawa Tengah,2021-08-17T02:59:18,Cipta tak pernah ingkar janji,5,Positive
107,Pantai Cipta,Jawa Tengah,2021-08-04T00:00:34,"Pantai yg asyik untuk bermain air,sayangnya bqnyak sampah yg berserakan ditepi pantai",4,Neutral
108,Pantai Cipta,Jawa Tengah,2021-07-27T18:23:34,"namanya juga pantai urugan tanah yg berfungsi sebagai gudang peti kemas, jadi memang kotor dan tidak terawat sebagai mestinya tempat wisata",3,Negative
109,Pantai Cipta,Jawa Tengah,2021-07-27T00:39:37,tempat mancing yg nyaman,5,Positive
110,Pantai Cipta,Jawa Tengah,2021-07-20T04:11:44,Kerapunya besar besar,5,Positive
111,Pantai Cipta,Jawa Tengah,2021-07-17T19:30:21,"Ikan nya pada makan, asik lah",5,Positive
112,Pantai Cipta,Jawa Tengah,2021-07-13T22:14:41,"Senang aja liat pemandangan laut,,,",4,Positive
113,Pantai Cipta,Jawa Tengah,2021-07-11T10:57:36,Lumayan sih meskipun bny sampahnya,4,Neutral
114,Pantai Cipta,Jawa Tengah,2021-06-27T04:02:06,Mancing nang cipta kerpune okeh,5,Positive
115,Pantai Cipta,Jawa Tengah,2021-06-25T10:53:21,Pantai dg masa depan prospek ekonomi yg tinggi utk Jawa Tengah & Indonesia,5,Positive
116,Pantai Cipta,Jawa Tengah,2021-06-12T09:53:15,"Anda seorang angler??
Coba dan buktikan spot ini.
Recomended ",5,Positive
117,Pantai Cipta,Jawa Tengah,2021-06-06T05:02:03,"Pantainya kotor, untuk mencari kerang atau mancing warga sekitar, di sekitar jalan masuk banyak pungutan liar",1,Negative
118,Pantai Cipta,Jawa Tengah,2021-05-27T17:30:27,tempatnya bagus sy akses jalannya kurang baik,5,Neutral
119,Pantai Cipta,Jawa Tengah,2021-05-26T09:02:01,Tempatnya lumayan buat berenung dan melepaskan lelah..,5,Positive
120,Pantai Cipta,Jawa Tengah,2021-05-25T21:55:22,"Ini tempat memancing untuk warga sekitar..Saran saya jangan ketempat ini nanti kalian bisa kelelahan,karena tidak ada tempat istirahat..",2,Negative
121,Pantai Cipta,Jawa Tengah,2021-05-24T04:26:22,Jalannya rusak parah,1,Negative
122,Pantai Cipta,Jawa Tengah,2021-05-20T11:57:12,"Tempatya indah,bayak org pemancing
Anginya sepoy2",4,Positive
123,Pantai Cipta,Jawa Tengah,2021-03-19T22:43:50,"Ini enak banget, masuk ndak ada portal nya(khusus motor) 
Lokasi sesuai titik, tinggal masuk jalan tanah aja. Sampahnya banyak

NB: ternyata sesekali ada petugas nya yg muter, ""masuknya Rp 5.000,-"" ",5,Neutral
124,Pantai Cipta,Jawa Tengah,2021-04-26T13:40:45,"Good fishing spot. Nice place for enjoying the sunset.
HTM katanya 5 ribu rupiah, akses jalan masuk agak sulit karena jalan paving bergelombang dan sering tergenang. Terlihat kurang diperhatikan dan dibiarkan apa adanya.",3,Neutral
125,Pantai Cipta,Jawa Tengah,2020-05-03T17:03:03,Akses menuju lokasi sangat buruk dan banyak sampah..tapi ikannya banyak,5,Negative
126,Pantai Cipta,Jawa Tengah,2021-04-17T09:06:48,akses jalan masuk sangat rusak parah..,3,Negative
127,Pantai Cipta,Jawa Tengah,2021-04-12T16:10:43,Tempat yang asyik buat mancing sekaligus menikmati indahnya matahari terbit dan tenggelam,4,Positive
128,Pantai Cipta,Jawa Tengah,2021-04-11T16:13:31,"Ada sisi bersih, ada sisi ber-sampah nya . Akses klo lewat halan yg samping termasuk aman krn ga ancur. Klo lewat tengah ancur",4,Neutral
129,Pantai Cipta,Jawa Tengah,2016-09-08T11:40:08,Saya sangat suka suasana sore hari ketika disini ,4,Positive
130,Pantai Cipta,Jawa Tengah,2021-03-31T14:49:07,"Kotor dan ada pungli satpam 5ribu, sangat disayangkan GK keurus",1,Negative
131,Pantai Cipta,Jawa Tengah,2021-03-28T11:52:56,Tempat rekreasi yg bagus,5,Positive
132,Pantai Cipta,Jawa Tengah,2021-03-15T01:17:28,Tempat wisata pantai yang cocok untuk anak anak. Juga para penghobi mancing banyak dipantai ini.,4,Positive
133,Pantai Cipta,Jawa Tengah,2021-02-21T11:24:34,"Masih belum terawat, sangat banyak sampah. Sebenarnya cukup potensial sebagai tempat wisata",2,Negative
134,Pantai Cipta,Jawa Tengah,2020-12-24T10:47:31,Bagus klo mau menikmati sore d sini cma sayangnya agak kotor maklum gak ada pengelolanya,3,Neutral
135,Pantai Cipta,Jawa Tengah,2020-12-24T10:46:39,pinggirnya bnyak sampah plastik dan beling jd hati hati aja,3,Negative
136,Pantai Cipta,Jawa Tengah,2020-11-23T10:38:59,Akses menuju pantai sangat tidak mendukung,2,Negative
137,Pantai Cipta,Jawa Tengah,2020-11-22T03:17:18,"Pantai favorit untuk mancing ikan kerapu.
Pantainya luas, ombaknya tenang.
Masuk per orang Rp 5.000.

Pagi-pagi ada bapak-bapak jualan makanan keliling naik motor. Ada gorengan, teh anget, nasi bungkus, dll.

Tapi sayang tidak ada kamar mandinya.
Tempatnya panas karena tidak ada peneduh semisal pohon atau gazebo.

Semoga kedepannya bisa dibangun toilet dan peneduh.

Pemandangannya bagus banget..
Dapet sunrise dan sunset..",5,Positive
138,Pantai Cipta,Jawa Tengah,2020-11-12T13:48:49,Pantainya luas tapi sedikit spot untuk main airnya krn kebanyakan karang. Lebih cocok untuk memancing.,4,Positive
139,Pantai Cipta,Jawa Tengah,2020-11-10T09:26:51,"Sebetulnya tempatnya oke, namun aksesnya per tanggal 10 nov 2020 sedang jelek sekali. Tidak direkomendasikan untuk mobil sedan dan semacamnya",3,Negative
140,Pantai Cipta,Jawa Tengah,2020-11-10T06:30:00,Jalan ke pantainya jelek,1,Negative
141,Pantai Cipta,Jawa Tengah,2020-11-04T12:21:24,Sangat menyenangkan buat yg hobi mancing,5,Positive
142,Pantai Cipta,Jawa Tengah,2020-11-02T10:25:05,"Lokasi mancing
kerang hijau segar langsung dengan nelayan
Area luas untuk keluarga
Biaya murah",5,Positive
143,Pantai Cipta,Jawa Tengah,2020-10-20T14:31:23,"Tempat asyik,pemandangan kapal2 pelabuhan bisa dilihat dari pantai ini
Kurang bagus untuk spot memancing,kendala batu karang",5,Positive
144,Pantai Cipta,Jawa Tengah,2020-09-22T12:16:43,tempat yang cocok untukmancing dan wisata,5,Positive
145,Pantai Cipta,Jawa Tengah,2020-09-11T03:52:48,Indah depo contener tempat muatan langganan saya,5,Neutral
146,Pantai Cipta,Jawa Tengah,2020-09-05T13:51:40,Pantai cipta pantai pecinta para pemancing..spot sunrise dan sunset untuk photography..terletak dekat pelabuhan..masuk melalui terminal peti kemas lewat arteri yos sudarso semarang utara,5,Positive
147,Pantai Cipta,Jawa Tengah,2020-08-23T12:07:54,Spot mancing jutaan kerapu,3,Positive
148,Pantai Cipta,Jawa Tengah,2020-08-18T14:09:22,murah meriah sambil cari kerang,4,Positive
149,Pantai Cipta,Jawa Tengah,2020-08-07T10:39:37,Bagus utk refreshing..dan salurkan hobi mancingnya,5,Positive
150,Pantai Cipta,Jawa Tengah,2020-07-16T05:51:41,Htm murah sayang akses menuju lokasi jalanya rusak parah ..mohon untuk dinas terkait untuk meninjau lokasi agar banyak wisatawan yg mau wisata k semarang..,4,Negative
151,Pantai Cipta,Jawa Tengah,2020-07-12T05:56:16,Mancing dan mandi di laut,5,Neutral
152,Pantai Cipta,Jawa Tengah,2020-07-05T12:13:27,"Sunrise disini lumyn keren

Pantai yg cocok buat fun fishing",4,Positive
153,Pantai Cipta,Jawa Tengah,2020-06-26T10:53:55,iwake orak nggondol...,4,Negative
154,Pantai Cipta,Jawa Tengah,2020-06-16T08:36:14,Cukup bagus untuk menikmati sunset ,4,Positive
